Product ID,Product Name,Product Category,Product Description,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,SKU,Product Tags,Color/Size Variations,Product Ratings
93TGNAY7,Laptop,Home Appliances,Product_XU5QX,253.17,3,2,16x15x15 cm,01-01-2023,01-01-2026,8NMFZ4,"VNU,NZ6",Green/Large,2
TYYZ5AV7,Smartphone,Clothing,Product_NRUMS,214.37,92,2,15x19x19 cm,15-03-2023,01-01-2025,7P5YCW,"ZJA,0D3",Red/Small,2
5C94FGTQ,Headphones,Clothing,Product_IT7HG,475.29,19,2,9x6x6 cm,15-03-2023,01-01-2026,YW5BME,"ZNG,MAP",Red/Small,1
XBHKYPQB,Monitor,Clothing,Product_8SBDO,403.33,40,1,7x13x5 cm,01-01-2023,01-01-2026,65MQC3,"RPP,M40",Green/Large,1
728GCZFU,Laptop,Home Appliances,Product_54FAF,229.81,32,2,20x20x19 cm,30-07-2023,01-01-2026,RLCBRW,"R8U,X46",Blue/Medium,4
27R9M103,Smartphone,Electronics,Product_Z5CGR,18.87,98,3,11x16x7 cm,01-01-2023,01-01-2024,UKNO5L,"KMQ,39Z",Green/Large,5
JDOVOMY2,Headphones,Home Appliances,Product_7IBNL,81.29,32,3,14x18x14 cm,01-01-2023,01-01-2026,L72TO4,"8JR,Z6A",Green/Large,2
0KHFMXFN,Monitor,Home Appliances,Product_GFUOS,21.35,48,2,11x6x11 cm,01-01-2023,01-01-2026,4C11JZ,"M0V,5ES",Blue/Medium,1
T4F2EW7G,Monitor,Home Appliances,Product_VSWHF,229.05,100,3,5x6x9 cm,01-01-2023,01-01-2025,8CE8EZ,"QVL,QKX",Green/Large,5
GL199BEL,Smartphone,Clothing,Product_HMH7Q,446.23,47,2,12x5x10 cm,01-01-2023,01-01-2026,UHYG3Y,"WNW,S2K",Green/Large,4
SX7HALUU,Monitor,Electronics,Product_SM05O,322.11,74,2,20x5x6 cm,30-07-2023,01-01-2024,45ODXB,"DLM,8UG",Green/Large,2
1AOXE5QW,Headphones,Clothing,Product_IXUWP,371.68,36,2,15x17x13 cm,15-03-2023,01-01-2024,WUKLQ8,"C2U,8GK",Green/Large,1
KOXR70B4,Smartphone,Home Appliances,Product_2SHT8,452.1,61,3,20x11x15 cm,15-03-2023,01-01-2025,9MGRX9,"9IS,VPP",Red/Small,4
X2D1GWO5,Monitor,Clothing,Product_5TYRK,27.31,40,3,11x9x16 cm,01-01-2023,01-01-2024,BGJTMN,"ZNB,Y61",Blue/Medium,4
ZKI2USNA,Laptop,Home Appliances,Product_56JPR,203.69,91,1,15x8x7 cm,01-01-2023,01-01-2025,LZWGTM,"PY8,YKO",Red/Small,2
EPKS7ECS,Smartphone,Clothing,Product_UPJGT,176.18,48,2,15x17x15 cm,30-07-2023,01-01-2024,ACTGNP,"CNR,0BZ",Blue/Medium,3
UB8UO1PA,Monitor,Electronics,Product_EFPA6,424.19,31,3,11x9x13 cm,01-01-2023,01-01-2026,M1RZV2,"8P4,A68",Blue/Medium,1
6ID782KK,Monitor,Clothing,Product_2N5R9,331.49,41,2,19x12x10 cm,30-07-2023,01-01-2026,A7U5V6,"CIP,2JO",Blue/Medium,5
YWJW03Z5,Headphones,Electronics,Product_QMM8Y,470.63,95,3,19x5x20 cm,15-03-2023,01-01-2025,5TJMJB,"0HK,49N",Red/Small,3
44WFTM8R,Smartphone,Home Appliances,Product_EMKXE,45.22,28,1,8x10x19 cm,30-07-2023,01-01-2025,7PIGAO,"KDZ,R63",Red/Small,2
CVYLYMJ3,Laptop,Clothing,Product_P8SC9,47.46,75,2,13x16x14 cm,15-03-2023,01-01-2025,218UVR,"DPX,Z01",Red/Small,1
9UQRU4ZU,Smartphone,Electronics,Product_2UN6K,103.02,51,3,13x9x5 cm,30-07-2023,01-01-2026,NC1SXI,"7OW,PLE",Green/Large,2
4RBD28EN,Headphones,Electronics,Product_GE3MG,189.22,19,3,6x6x7 cm,30-07-2023,01-01-2024,TL8IKI,"C19,3MV",Blue/Medium,3
XNTCQGCN,Laptop,Electronics,Product_QPH41,141.34,51,2,6x12x18 cm,30-07-2023,01-01-2024,MHPHI1,"XL4,92D",Green/Large,3
T27XMDD2,Smartphone,Clothing,Product_YLGLH,272.92,81,2,5x20x11 cm,01-01-2023,01-01-2026,UV0ZKV,"80L,HN3",Blue/Medium,3
OR97MBZ1,Smartphone,Home Appliances,Product_5GANS,464.04,100,3,11x10x7 cm,30-07-2023,01-01-2024,U90NV3,"PE6,DB3",Green/Large,3
HGFIOVL2,Monitor,Electronics,Product_01MSU,247.19,95,1,7x8x11 cm,15-03-2023,01-01-2024,V5XZAP,"2ZL,WXZ",Red/Small,3
